department,language,courseType,courseNumber,title,course_url,schedule,recommendedPrerequisites,notApplicableWith
22,English,BSc,22612,,https://kurser.dtu.dk/course/2024-2025/22612,['January'],,
23,English,BSc,23212,,https://kurser.dtu.dk/course/23212,['August'],,
23,English,BSc,23212,,https://kurser.dtu.dk/course/2024-2025/23212,['August'],,
23,English,BSc,23256,,https://kurser.dtu.dk/course/23256,['Spring F4A (Tues 13-17)'],,
23,English,BSc,23256,,https://kurser.dtu.dk/course/2024-2025/23256,['Spring F4A (Tues 13-17)'],,
23,English,BSc,23258,,https://kurser.dtu.dk/course/23258,['Spring F1B (Thurs 13-17)'],"27002, 27008, 27051",
23,English,BSc,23258,,https://kurser.dtu.dk/course/2024-2025/23258,['Spring F1B (Thurs 13-17)'],,
23,English,BSc,23711,,https://kurser.dtu.dk/course/23711,"['Autumn E1A (Mon 8-12)', 'Autumn E2A (Mon 13-17)', 'Autumn E4B (Fri 8-12)']",,"27711, 23511"
23,English,BSc,23711,,https://kurser.dtu.dk/course/2024-2025/23711,"['Autumn E1A (Mon 8-12)', 'Autumn E3A (Tues 8-12)', 'Autumn E5B (Wed 13-17)']",,"27711, 23511"
25,English,BSc,25102,,https://kurser.dtu.dk/course/25102,['June'],,88100
25,English,BSc,25102,,https://kurser.dtu.dk/course/2024-2025/25102,['June'],,88100
25,English,BSc,25104,,https://kurser.dtu.dk/course/25104,['Spring F4A (Tues 13-17)'],,
25,English,BSc,25104,,https://kurser.dtu.dk/course/2024-2025/25104,['Spring F4A (Tues 13-17)'],,
25,English,BSc,25105,,https://kurser.dtu.dk/course/25105,['Spring F3A (Tues 8-12)'],,
25,English,BSc,25105,,https://kurser.dtu.dk/course/2024-2025/25105,['Spring F3A (Tues 8-12)'],,
25,English,BSc,25106,,https://kurser.dtu.dk/course/25106,['Autumn E5B (Wed 13-17)'],"27008, 27002, 12701",
25,English,BSc,25106,,https://kurser.dtu.dk/course/2024-2025/25106,['Autumn E5B (Wed 13-17)'],,
25,English,BSc,25107,,https://kurser.dtu.dk/course/25107,['Spring F5B (Wed 13-17)'],,
25,English,BSc,25107,,https://kurser.dtu.dk/course/2024-2025/25107,['Spring F5B (Wed 13-17)'],,
25,English,BSc,25108,,https://kurser.dtu.dk/course/25108,['Autumn E2A (Mon 13-17)'],"25106, 27026",
25,English,BSc,25108,,https://kurser.dtu.dk/course/2024-2025/25108,['Autumn E2A (Mon 13-17)'],,
26,English,BSc,26002,,https://kurser.dtu.dk/course/26002,"['Spring F2A (Mon 13-17)', 'Spring F3A (Tues 8-12)', 'Spring F5 (Wed 8-17) or', 'Autumn E2A (Mon 13-17)', 'Autumn E3A (Tues 8-12) or', 'Autumn E5 (Wed 8-17)', 'Autumn, primarily module 5. If overbooked, classes are offered in 2A+3A. Students will be in the laboratory 8 hours a week, either Mon 13-17', 'Tues 8-12 or Wed 8-17.']",,"26003, 26004, 26474"
26,English,BSc,26002,,https://kurser.dtu.dk/course/2024-2025/26002,"['Autumn E5 (Wed 8-17)', 'Autumn E2A (Mon 13-17)', 'Autumn E3A (Tues 8-12)', 'Spring F5 (Wed 8-17)', 'Spring F2A (Mon 13-17)', 'Spring F3A (Tues 8-12)', 'Autumn, primarily module 5. If overbooked, classes are offered in 2A+3A. Students will be in the laboratory 8 hours a week, either Mon 13-17', 'Tues 8-12 or Wed 8-17.']",,"26003, 26004"
26,English,BSc,26003,,https://kurser.dtu.dk/course/26003,['June'],,"26002, 26004, 26474"
26,English,BSc,26003,,https://kurser.dtu.dk/course/2024-2025/26003,['June'],,"26002, 26004"
26,English,BSc,26004,,https://kurser.dtu.dk/course/26004,['August'],,"26002, 26003, 26474"
26,English,BSc,26004,,https://kurser.dtu.dk/course/2024-2025/26004,['August'],,"26002, 26003"
26,English,BSc,26020,,https://kurser.dtu.dk/course/26020,['Autumn E1A (Mon 8-12)'],"01001, 01003, 01002, 01004, 10060, 10063, 02002","26000, 26001, 26021, 26022, 26026, 26027, 26028, 26030, 26050, 26171, 26800"
26,English,BSc,26020,,https://kurser.dtu.dk/course/2024-2025/26020,['Autumn E1A (Mon 8-12)'],,"26000, 26001, 26021, 26022, 26026, 26027, 26028, 26030, 26050, 26800"
26,English,BSc,26127,,https://kurser.dtu.dk/course/26127,['January'],"26006, 26001, 26124",
26,English,BSc,26127,,https://kurser.dtu.dk/course/2024-2025/26127,['January'],,
26,English,BSc,26211,,https://kurser.dtu.dk/course/2024-2025/26211,['Spring F4B (Fri 8-12)'],,"26200, 26201, 26202"
26,English,BSc,26211,,https://kurser.dtu.dk/course/26211,['Spring F4B (Fri 8-12)'],"26000, 26001, 26020, 26021, 26022, 26026, 26027, 26028, 26030, 26050, 27022, 10050, 10060, 10063","26200, 26201, 26202"
26,English,BSc,26225,,https://kurser.dtu.dk/course/26225,['Autumn E2A (Mon 13-17)'],,
26,English,BSc,26225,,https://kurser.dtu.dk/course/2024-2025/26225,['Autumn E2A (Mon 13-17)'],,
26,English,BSc,26245,,https://kurser.dtu.dk/course/26245,['June'],"26200, 26201, 26211, 26400, 27002, 27020",
26,English,BSc,26245,,https://kurser.dtu.dk/course/2024-2025/26245,['June'],,
26,English,BSc,26261,,https://kurser.dtu.dk/course/26261,['Autumn E4A (Tues 13-17)'],"01005, 01015, 01920, 26200, 26201, 26271, 26211, 01001, 01003, 01002, 01004",
26,English,BSc,26261,,https://kurser.dtu.dk/course/2024-2025/26261,['Autumn E4A (Tues 13-17)'],,
26,English,BSc,26407,,https://kurser.dtu.dk/course/26407,"['Autumn E5 (Wed 8-17)', 'Autumn E2A (Mon 13-17)', 'Autumn E3A (Tues 8-12)', 'Spring F5 (Wed 8-17) or', 'Spring F2A (Mon 13-17)', 'Spring F3A (Tues 8-12)']",26411,
26,English,BSc,26407,,https://kurser.dtu.dk/course/2024-2025/26407,"['Autumn E5 (Wed 8-17)', 'Autumn E2A (Mon 13-17)', 'Autumn E3A (Tues 8-12)', 'Spring F5 (Wed 8-17) or', 'Spring F2A (Mon 13-17)', 'Spring F3A (Tues 8-12)']",,
26,English,BSc,26426,,https://kurser.dtu.dk/course/26426,['Spring F2B (Thurs 8-12)'],"27002, 27008, 27020, 26411, 26202, 26211, 26222, 26220",
26,English,BSc,26426,,https://kurser.dtu.dk/course/2024-2025/26426,['Spring F2B (Thurs 8-12)'],,
26,English,BSc,26428,,https://kurser.dtu.dk/course/26428,['Spring F2A (Mon 13-17)'],26411,
26,English,BSc,26428,,https://kurser.dtu.dk/course/2024-2025/26428,['Spring F4B (Fri 8-12)'],,
27,English,BSc,27016,,https://kurser.dtu.dk/course/27016,['January'],,
27,English,BSc,27016,,https://kurser.dtu.dk/course/2024-2025/27016,['January'],,
27,English,BSc,27020,,https://kurser.dtu.dk/course/27020,"['Autumn E2A (Mon 13-17)', 'Spring F2A (Mon 13-17)']","26000, 26026, 26027, 26030, 26050, 26171",
27,English,BSc,27020,,https://kurser.dtu.dk/course/2024-2025/27020,"['Autumn E2A (Mon 13-17)', 'Spring F2A (Mon 13-17)']",,
